MCestimate  MCerror
42227.39633835864 81.4972659460508
42142.89142910271 81.22324501378773
42169.019444750455 81.27218391227098
42075.49141895339 80.90991070575892
42117.00697350916 81.23110978127768
42067.56033791737 81.10362326328126
42384.811039196444 82.41823373266807
42294.578990989336 82.01437849976921
42211.175975870705 81.9856647328311
42203.38203352282 81.69245447242523
42108.2685797631 81.11785268732756
42261.279997320795 81.97631646943346
42314.431194945006 82.8973419440182
42174.997137964914 81.40685314900787
42267.08317615139 82.19702124333936
42239.82001055057 81.90029914834835
42041.75647542973 81.36017593765375
42240.99335929294 81.84362834229566
42201.62151296192 81.65341856747517
42205.87053594752 81.94447019984929
42214.23586080857 82.46165548721983
42226.27710436721 81.26460256869325
42310.319893729065 82.11347967156098
42169.363966654026 81.61388619531944
42125.858724037564 81.56888305462041
42068.44252977969 80.8918428481469
42374.49572848965 82.22898198174532
42232.931447745024 82.00169767594414
42245.04421384031 81.82651207503216
42229.26814551252 82.10961206535373
42205.39417397353 81.35190707463501
42159.05899419378 81.86447357399972
42194.918196842074 82.17954594887138
42317.70668306126 81.92444835542241
42302.70121626604 81.78480032483633
42211.63255137555 81.9593877441361
42259.756844038515 81.61358513093347
42327.61526504971 82.18920222578893
42142.74832236664 80.96929153446688
42117.73658363764 80.65811352213625
42293.894551232705 82.2939031150313
42160.503769992945 81.09279287742088
42104.500330892326 81.2881104915966
42273.17595393479 82.70374829609182
42199.15174515403 82.0584825829752
42259.60826479512 81.65631148373319
42161.77993163485 81.97428333769875
42092.53750870568 81.16590855673931
42154.44464606235 81.26909094503272
42177.44438265069 82.03160643830033
42245.734839383265 81.79934081030602
42187.94519247331 81.88873672519843
42159.2851071546 81.52544984891199
42221.18076730301 81.82399605169363
42045.698329190185 80.93660481915252
42323.49023661284 81.74517813900974
42236.03758216132 81.80142983587258
42060.6446497883 80.7605882024524
42286.08484457341 81.82087922419352
42089.48742634416 81.53950679098064
42239.69283852365 81.29428503767878
42382.61470531289 82.06159776378567
42174.4848533287 81.50111444231652
42369.73895934663 81.91611560061571
42264.61048383205 82.73445989244438
42295.06404382321 81.58941575927443
42195.95417723724 82.32356986231403
42219.07741224648 81.71317651319215
42115.33519103868 81.34713739514204
42380.82853854453 82.69495751633183
42291.41984294045 82.13956931346145
